Date (YYYYMMDD)	start time (UTC)	latitude	longitude	Jesse Check	Bill add
					
20010113	1800	33.89	-102.94		x
20010116	1900	30.31	-107.47	x	
20010116	1900	29.41	-106.88	x	
20010116	1900	29.21	-106.12	x	
20010116	1930	28.6	-106.51	x	
20010125	1900	31.05	-107.9	x	
20010127	2000	31.18	-107.88	x	
20010127	1830	30.34	-107.41	x	
20010127	1830	29.2	-106.81	x	
20010127	1830	28.89	-106.38		x
20010128	1930	26.21	-105.1	x	
20010128	2000	26.8	-103.92	x	
20010208	1730	30.55	-107.29	x	
20010208	1700	30.35	-106.88	x	
20010208	1730	29.19	-106.9	x	
20010208	1730	29.1	-106.83	x	
20010208	1730	29	-106.55	x	
20010208	1900	28.75	-106.53	x	
20010224	1730	34.07	-102.44	x	
20010224	1830	33.68	-102.68	x	
20010224	1730	33.26	-102.59	x	
20010224	1730	32.63	101.95-	x	
20010224	1730	32.41	-101.56	x	
20010224	1730	32.08	-101.58	x	
20010224	1730	31.04	-104.59	x	
20010224	1730	31.07	-103.65	x	
20010224	2030	34.58	-103.75	x	
20010303	2100	31.04	-107.45	x	
20010310	1730	31.1	-108.02	x	
20010310	1830	30.6	-107.28	x	
20010310	1900	29.5	-107.9	x	
20010314	1830	31.41	-107.39	x	
20010314	1930	31.03	-104.8	x	
20010314	1930	31.01	-103.61	x	
20010314	1830	31.58	-106.11	x	
20010314	1830	30.83	-107.09		x
20010314	1930	30.51	-107.28		x
20010314	1730	37.18	-117.05		x
20010315	1630	32.59	-102.1		x
20010315	1630	33.03	-102.1.98	x	
20010315	1630	33.4	-101.58		x
20010315	1630	33.5	-101.25	x	
20010315	1630	34	-101.05	x	
20010315	1630	34.11	-100.92	x	
20010315	1600	34.55	-100.53	x	
20010324	2100	37.32	-117.03		x
20010406	1730	31.21	-107.89	x	
20010406	1730	31.56	-107.48	x	
20010406	1600	30.77	-107.71	x	
20010406	1600	30.54	-107.33	x	
20010406	1600	29.43	-107.72	x	
20010406	1600	29.08	-107.43		x
20010406	1730	28.54	-107.39	x	
20010406	1800	28.67	-106.72		x
20010406	1800	28.25	-106.91		x
20010407	1500	29.2	-103		
20010407	1600	28.6	-103.5		
20010408	1630	38.12	-104.39	x	
20010408	1830	31.52	-107.46	x	
20010408	1900	30.95	-107.01	x	
20010408	1900	30.55	-107.27	x	
20010409	1930	31.52	-107.99	x	
20010410	1530	32.03	-107.91	x	
20010410	1600	31.2	-107.82	x	
20010410	1700	31	-108.44		x
20010410	1600	30.77	-107.9		x
20010410	1600	30.47	-107.5		x
20010410	1600	30.2	-107.45		x
20010410	1630	29.53	-107.8	x	
20010410	1630	29.31	-106.9	x	
20010410	1630	29.27	-106.75	x	
20010410	1630	29.05	-106.5	x	
20010411	1530	31.2	-103.68	x	
20010411	1530	34.02	-103.2		x
20010411	1630	33.8	-102.97		x
20010411	1630	33.2	-102.58		x
20010411	1700	38.5	-102.3		x
20010412	1530	34	-104.5		
20010413	1530	37.5	-105.5		
20010413	1830	36.5	-105		
20010413	1730	35.5	-107		
20010419	1700	37.66	-105.9	x	
20010420	1700	35.74	-108.81	x	
20010420	2000	37.82	-105.95	x	
20010420	1900	32.91	-106.31		x
20010420	1900	31.21	-107.92		x
20010421	1930	31.05	-108.62	x	
20010421	1930	31.05	-108.49	x	
20010421	1830	31.3	-107.97	x	
20010421	1930	30.7	-107.93		x
20010421	1830	30.99	-107.03	x	
20010421	1830	30.66	-107.1	x	
20010421	1930	30.5	-106.7	x	
20010421	1930	30.5	-106.7	x	
20010422	1530	31.52	-107.5	x	
20010422	1530	30.95	-107.17	x	
20010422	1530	31.1	-104.8	x	
20010423	1630	32.11	-107.49		x
20010424	1630	34.1	-103.41		x
20010425	1730	33.67	-102.41		x
20010426	1730	33.22	-102.41		x
20010426	1730	32.88	-102.41		x
20010426	1730	32.65	-102.65		x
20010426	1730	32.37	-102.65		x
20010427	1630	36.1	-102.55		x
20010502	1830	35.32	-110.81	x	
20010502	1530	36.6	-117.86		x
20010502	1630	36.5	-119.89		x
20010503	1430	35.51	-116.51		x
20010504	1930	31.57	-107.5	x	
20010504	1930	30.92	-106.99	x	
20010505	1830	31.53	-107.48	x	
20010505	1900	30.9	-107.01	x	
20010516	1730	31.5	-107.47	x	
20010516	1900	30.88	-106.98		x
20010517	1830	31.53	-107.47	x	
20010517	1530	31	-104.2		
20010520	1930	31.51	-107.44	x	
20010520	2000	31.11	-104.49	x	
20010520	1900	32.48	-101.51	x	
20010521	1730	31.41	-107.5	x	
20010524	1900	40.91	-119.06		x
20010526	1900	31.59	-107.47	x	
20010527	1830	40.65	-119.51		x
20010528	2030	31.21	-107.81	x	
20010529	2100	30.92	-106.94		x
20010529	2030	31.57	-107.39		x
20010601	1930	31.52	-107.5	x	
20010602	1930	31.51	-107.52	x	
20010602	2100	39.94	-118.42		x
20010603	1730	31.53	-107.52	x	
20010603	1830	31.27	-107.9	x	
20010603	1730	30.94	-106.97	x	
